date,home_team,away_team,home_score,away_score,home_odds,away_odds
,Indiana Pacers,New York Knicks,100,106,1.84,1.95
,Minnesota Timberwolves,Oklahoma City Thunder,,143,2.24,1.65
2025-05-24,New York Knicks,Indiana Pacers,109,114,1.40,2.94
2025-05-23,Oklahoma City Thunder,Minnesota Timberwolves,,118,1.29,3.58
2025-05-22,New York Knicks,Indiana Pacers,135,138,1.53,2.51
2025-05-21,Oklahoma City Thunder,Minnesota Timberwolves,,114,1.36,3.26
2025-05-18,Oklahoma City Thunder,Denver Nuggets,,125,1.31,3.55
2025-05-17,New York Knicks,Boston Celtics,,119,1.69,2.15
2025-05-16,Denver Nuggets,Oklahoma City Thunder,,119,2.57,1.48
2025-05-15,Minnesota Timberwolves,Golden State Warriors,,121,1.23,4.22
2025-05-15,Boston Celtics,New York Knicks,,127,1.51,2.57
2025-05-14,Oklahoma City Thunder,Denver Nuggets,,112,1.22,4.19
2025-05-14,Cleveland Cavaliers,Indiana Pacers,105,114,1.31,3.43
2025-05-13,Golden State Warriors,Minnesota Timberwolves,110,117,2.54,1.50
2025-05-13,New York Knicks,Boston Celtics,,121,2.95,1.39
2025-05-12,Indiana Pacers,Cleveland Cavaliers,,129,2.77,1.44
2025-05-11,Denver Nuggets,Oklahoma City Thunder,87,92,3.10,1.36
2025-05-11,Golden State Warriors,Minnesota Timberwolves,97,102,2.89,1.41
2025-05-10,New York Knicks,Boston Celtics,93,115,2.90,1.41
2025-05-10,Denver Nuggets,Oklahoma City Thunder,,113,2.84,1.41
2025-05-10,Indiana Pacers,Cleveland Cavaliers,104,126,2.68,1.45
2025-05-09,Minnesota Timberwolves,Golden State Warriors,,117,1.19,4.66
2025-05-08,Oklahoma City Thunder,Denver Nuggets,,149,1.22,4.46
2025-05-08,Boston Celtics,New York Knicks,90,91,1.18,4.68
2025-05-07,Minnesota Timberwolves,Golden State Warriors,88,99,1.39,2.98
2025-05-07,Cleveland Cavaliers,Indiana Pacers,119,120,1.45,2.75
2025-05-06,Oklahoma City Thunder,Denver Nuggets,119,121,1.20,4.48
2025-05-06,Boston Celtics,New York Knicks,105,108,1.25,3.92
2025-05-05,Houston Rockets,Golden State Warriors,89,103,1.72,2.09
2025-05-05,Cleveland Cavaliers,Indiana Pacers,112,121,1.27,3.75
2025-05-04,Denver Nuggets,Los Angeles Clippers,,120,1.80,1.99
2025-05-03,Golden State Warriors,Houston Rockets,107,115,1.41,2.87
2025-05-02,Los Angeles Clippers,Denver Nuggets,,111,1.39,2.98
2025-05-02,Detroit Pistons,New York Knicks,113,116,1.82,1.98
2025-05-01,Los Angeles Lakers,Minnesota Timberwolves,96,103,1.40,2.91
2025-05-01,Houston Rockets,Golden State Warriors,,131,1.53,2.47
,Denver Nuggets,Los Angeles Clippers,,131,2.01,1.77
,Boston Celtics,Orlando Magic,,120,1.14,5.45
,New York Knicks,Detroit Pistons,103,106,1.44,2.76
,Indiana Pacers,Milwaukee Bucks,,119,1.28,3.62
,Golden State Warriors,Houston Rockets,,109,1.55,2.41
,Miami Heat,Cleveland Cavaliers,83,138,3.74,1.28
,Milwaukee Bucks,Indiana Pacers,103,129,1.56,2.40
,Orlando Magic,Boston Celtics,98,107,3.52,1.30
,Minnesota Timberwolves,Los Angeles Lakers,,116,1.72,2.11
,Detroit Pistons,New York Knicks,93,94,1.71,2.10
,Golden State Warriors,Houston Rockets,,104,1.68,2.15
,Los Angeles Clippers,Denver Nuggets,99,101,1.36,3.10
,Memphis Grizzlies,Oklahoma City Thunder,115,117,7.74,1.08
,Miami Heat,Cleveland Cavaliers,87,124,2.61,1.48
,Minnesota Timberwolves,Los Angeles Lakers,,116,1.58,2.34
,Milwaukee Bucks,Indiana Pacers,,117,1.48,2.61
,Orlando Magic,Boston Celtics,,95,2.84,1.42
,Los Angeles Clippers,Denver Nuggets,,117,1.44,2.74
,Memphis Grizzlies,Oklahoma City Thunder,108,114,4.33,1.20
,Detroit Pistons,New York Knicks,116,118,2.00,1.78
,Houston Rockets,Golden State Warriors,,109,1.56,2.37
,Cleveland Cavaliers,Miami Heat,,121,1.14,5.44
,Boston Celtics,Orlando Magic,,109,1.19,4.53
,Los Angeles Lakers,Minnesota Timberwolves,,94,1.40,2.93
,Oklahoma City Thunder,Memphis Grizzlies,,118,1.09,7.21
,Indiana Pacers,Milwaukee Bucks,,123,1.54,2.43
,Denver Nuggets,Los Angeles Clippers,102,105,1.87,1.92
,New York Knicks,Detroit Pistons,94,100,1.38,3.07
,Houston Rockets,Golden State Warriors,85,95,1.79,1.99
,Cleveland Cavaliers,Miami Heat,,121,1.13,5.98
,Boston Celtics,Orlando Magic,,103,1.12,6.00
,Oklahoma City Thunder,Memphis Grizzlies,,131,1.10,6.66
,Los Angeles Lakers,Minnesota Timberwolves,95,117,1.51,2.53
,New York Knicks,Detroit Pistons,,123,1.33,3.27
,Denver Nuggets,Los Angeles Clippers,,112,1.67,2.16
,Indiana Pacers,Milwaukee Bucks,,117,1.42,2.83
,Memphis Grizzlies,Dallas Mavericks,,120,1.42,2.82
,Atlanta Hawks,Miami Heat,114,123,2.05,1.74
,Sacramento Kings,Dallas Mavericks,106,120,1.41,2.85
,Chicago Bulls,Miami Heat,90,109,1.73,2.06
,Golden State Warriors,Memphis Grizzlies,,121,1.34,3.21
,Orlando Magic,Atlanta Hawks,,120,1.40,2.93
