date,home_team,away_team,home_score,away_score,home_odds,away_odds
"Today, 26 May ",Indiana Pacers,New York Knicks,100,100–106,1.84,1.95
"Yesterday, 25 May ",Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves,143,2.24,1.65
24 May 2025 ,New York Knicks,Indiana Pacers,109,109–114,1.40,2.94
23 May 2025 ,Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,118,1.29,3.58
22 May 2025 ,New York Knicks,Indiana Pacers,135,135–138,1.53,2.51
21 May 2025 ,Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,114,1.36,3.26
18 May 2025 ,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,125,1.31,3.55
17 May 2025 ,New York Knicks,Boston Celtics,New York Knicks,119,1.69,2.15
16 May 2025 ,Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,119,2.57,1.48
15 May 2025 ,Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,121,1.23,4.22
15 May 2025 ,Boston Celtics,New York Knicks,Boston Celtics,127,1.51,2.57
14 May 2025 ,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,112,1.22,4.19
14 May 2025 ,Cleveland Cavaliers,Indiana Pacers,105,105–114,1.31,3.43
13 May 2025 ,Golden State Warriors,Minnesota Timberwolves,110,110–117,2.54,1.50
13 May 2025 ,New York Knicks,Boston Celtics,New York Knicks,121,2.95,1.39
12 May 2025 ,Indiana Pacers,Cleveland Cavaliers,Indiana Pacers,129,2.77,1.44
11 May 2025 ,Denver Nuggets,Oklahoma City Thunder,87,87–92,3.10,1.36
11 May 2025 ,Golden State Warriors,Minnesota Timberwolves,97,97–102,2.89,1.41
10 May 2025 ,New York Knicks,Boston Celtics,93,93–115,2.90,1.41
10 May 2025 ,Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,113,2.84,1.41
10 May 2025 ,Indiana Pacers,Cleveland Cavaliers,104,104–126,2.68,1.45
09 May 2025 ,Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,117,1.19,4.66
08 May 2025 ,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,149,1.22,4.46
08 May 2025 ,Boston Celtics,New York Knicks,90,90–91,1.18,4.68
07 May 2025 ,Minnesota Timberwolves,Golden State Warriors,88,88–99,1.39,2.98
07 May 2025 ,Cleveland Cavaliers,Indiana Pacers,119,119–120,1.45,2.75
06 May 2025 ,Oklahoma City Thunder,Denver Nuggets,119,119–121,1.20,4.48
06 May 2025 ,Boston Celtics,New York Knicks,105,105–108,1.25,3.92
05 May 2025 ,Houston Rockets,Golden State Warriors,89,89–103,1.72,2.09
05 May 2025 ,Cleveland Cavaliers,Indiana Pacers,112,112–121,1.27,3.75
04 May 2025 ,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,120,1.80,1.99
03 May 2025 ,Golden State Warriors,Houston Rockets,107,107–115,1.41,2.87
02 May 2025 ,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,111,1.39,2.98
02 May 2025 ,Detroit Pistons,New York Knicks,113,113–116,1.82,1.98
01 May 2025 ,Los Angeles Lakers,Minnesota Timberwolves,96,96–103,1.40,2.91
01 May 2025 ,Houston Rockets,Golden State Warriors,Houston Rockets,131,1.53,2.47
30 Apr 2025 ,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,131,2.01,1.77
30 Apr 2025 ,Boston Celtics,Orlando Magic,Boston Celtics,120,1.14,5.45
30 Apr 2025 ,New York Knicks,Detroit Pistons,103,103–106,1.44,2.76
30 Apr 2025 ,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,119,1.28,3.62
29 Apr 2025 ,Golden State Warriors,Houston Rockets,Golden State Warriors,109,1.55,2.41
29 Apr 2025 ,Miami Heat,Cleveland Cavaliers,83,83–138,3.74,1.28
28 Apr 2025 ,Milwaukee Bucks,Indiana Pacers,103,103–129,1.56,2.40
28 Apr 2025 ,Orlando Magic,Boston Celtics,98,98–107,3.52,1.30
27 Apr 2025 ,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,116,1.72,2.11
27 Apr 2025 ,Detroit Pistons,New York Knicks,93,93–94,1.71,2.10
27 Apr 2025 ,Golden State Warriors,Houston Rockets,Golden State Warriors,104,1.68,2.15
27 Apr 2025 ,Los Angeles Clippers,Denver Nuggets,99,99–101,1.36,3.10
26 Apr 2025 ,Memphis Grizzlies,Oklahoma City Thunder,115,115–117,7.74,1.08
26 Apr 2025 ,Miami Heat,Cleveland Cavaliers,87,87–124,2.61,1.48
26 Apr 2025 ,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,116,1.58,2.34
26 Apr 2025 ,Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,117,1.48,2.61
26 Apr 2025 ,Orlando Magic,Boston Celtics,Orlando Magic,95,2.84,1.42
25 Apr 2025 ,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,117,1.44,2.74
25 Apr 2025 ,Memphis Grizzlies,Oklahoma City Thunder,108,108–114,4.33,1.20
25 Apr 2025 ,Detroit Pistons,New York Knicks,116,116–118,2.00,1.78
24 Apr 2025 ,Houston Rockets,Golden State Warriors,Houston Rockets,109,1.56,2.37
24 Apr 2025 ,Cleveland Cavaliers,Miami Heat,Cleveland Cavaliers,121,1.14,5.44
24 Apr 2025 ,Boston Celtics,Orlando Magic,Boston Celtics,109,1.19,4.53
23 Apr 2025 ,Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,94,1.40,2.93
23 Apr 2025 ,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,118,1.09,7.21
23 Apr 2025 ,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,123,1.54,2.43
22 Apr 2025 ,Denver Nuggets,Los Angeles Clippers,102,102–105,1.87,1.92
22 Apr 2025 ,New York Knicks,Detroit Pistons,94,94–100,1.38,3.07
21 Apr 2025 ,Houston Rockets,Golden State Warriors,85,85–95,1.79,1.99
21 Apr 2025 ,Cleveland Cavaliers,Miami Heat,Cleveland Cavaliers,121,1.13,5.98
20 Apr 2025 ,Boston Celtics,Orlando Magic,Boston Celtics,103,1.12,6.00
20 Apr 2025 ,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,131,1.10,6.66
20 Apr 2025 ,Los Angeles Lakers,Minnesota Timberwolves,95,95–117,1.51,2.53
20 Apr 2025 ,New York Knicks,Detroit Pistons,New York Knicks,123,1.33,3.27
19 Apr 2025 ,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,112,1.67,2.16
19 Apr 2025 ,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,117,1.42,2.83
19 Apr 2025 ,Memphis Grizzlies,Dallas Mavericks,Memphis Grizzlies,120,1.42,2.82
19 Apr 2025 ,Atlanta Hawks,Miami Heat,114,114–123,2.05,1.74
17 Apr 2025 ,Sacramento Kings,Dallas Mavericks,106,106–120,1.41,2.85
17 Apr 2025 ,Chicago Bulls,Miami Heat,90,90–109,1.73,2.06
16 Apr 2025 ,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,121,1.34,3.21
16 Apr 2025 ,Orlando Magic,Atlanta Hawks,Orlando Magic,120,1.40,2.93
13 Apr 2025,Golden State Warriors,Los Angeles Clippers,119,119–124,1.59,2.32
13 Apr 2025,Houston Rockets,Denver Nuggets,111,111–126,2.85,1.42
13 Apr 2025,Memphis Grizzlies,Dallas Mavericks,Memphis Grizzlies,132,2.02,1.75
13 Apr 2025,Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves,116,1.02,13.56
13 Apr 2025,New Orleans Pelicans,Oklahoma City Thunder,100,100–115,5.66,1.13
13 Apr 2025,Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,109,1.44,2.76
13 Apr 2025,Sacramento Kings,Phoenix Suns,Sacramento Kings,109,1.09,6.69
13 Apr 2025,San Antonio Spurs,Toronto Raptors,San Antonio Spurs,125,1.55,2.42
13 Apr 2025,Atlanta Hawks,Orlando Magic,Atlanta Hawks,117,2.25,1.61
13 Apr 2025,Boston Celtics,Charlotte Hornets,Boston Celtics,93,1.20,4.46
13 Apr 2025,Brooklyn Nets,New York Knicks,105,105–113,2.48,1.51
13 Apr 2025,Cleveland Cavaliers,Indiana Pacers,118,118–126,3.04,1.37
13 Apr 2025,Miami Heat,Washington Wizards,118,118–119,1.29,3.53
13 Apr 2025,Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks,140,3.92,1.24
13 Apr 2025,Philadelphia 76ers,Chicago Bulls,102,102–122,3.56,1.28
12 Apr 2025,Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,140,1.11,6.51
12 Apr 2025,Phoenix Suns,San Antonio Spurs,Phoenix Suns,117,1.48,2.58
12 Apr 2025,Portland Trail Blazers,Golden State Warriors,86,86–103,7.58,1.07
12 Apr 2025,Sacramento Kings,Los Angeles Clippers,100,100–101,3.14,1.34
12 Apr 2025,Utah Jazz,Oklahoma City Thunder,111,111–145,4.00,1.23
12 Apr 2025,Denver Nuggets,Memphis Grizzlies,Denver Nuggets,117,1.35,3.18
12 Apr 2025,Minnesota Timberwolves,Brooklyn Nets,Minnesota Timberwolves,117,1.02,12.43
12 Apr 2025,Dallas Mavericks,Toronto Raptors,Dallas Mavericks,124,1.17,4.89
12 Apr 2025,Chicago Bulls,Washington Wizards,Chicago Bulls,119,1.09,7.09
12 Apr 2025,New Orleans Pelicans,Miami Heat,104,104–153,7.28,1.08
12 Apr 2025,Boston Celtics,Charlotte Hornets,Boston Celtics,130,1.04,10.88
12 Apr 2025,New York Knicks,Cleveland Cavaliers,102,102–108,1.60,2.26
12 Apr 2025,Detroit Pistons,Milwaukee Bucks,119,119–125,1.54,2.44
12 Apr 2025,Indiana Pacers,Orlando Magic,115,115–129,1.63,2.22
12 Apr 2025,Philadelphia 76ers,Atlanta Hawks,110,110–124,5.40,1.14
11 Apr 2025,Memphis Grizzlies,Minnesota Timberwolves,125,125–141,2.11,1.74
11 Apr 2025,Milwaukee Bucks,New Orleans Pelicans,Milwaukee Bucks,136,1.07,7.81
11 Apr 2025,Brooklyn Nets,Atlanta Hawks,109,109–133,6.34,1.12
11 Apr 2025,Detroit Pistons,New York Knicks,Detroit Pistons,115,1.60,2.30
11 Apr 2025,Indiana Pacers,Cleveland Cavaliers,Indiana Pacers,114,1.20,4.34
10 Apr 2025,Los Angeles Clippers,Houston Rockets,Los Angeles Clippers,134,1.20,4.29
10 Apr 2025,Golden State Warriors,San Antonio Spurs,111,111–114,1.05,9.43
10 Apr 2025,Phoenix Suns,Oklahoma City Thunder,112,112–125,3.20,1.34
10 Apr 2025,Sacramento Kings,Denver Nuggets,116,116–124,2.52,1.51
10 Apr 2025,Utah Jazz,Portland Trail Blazers,Utah Jazz,133,2.92,1.38
10 Apr 2025,Chicago Bulls,Miami Heat,Chicago Bulls,119,2.04,1.76
10 Apr 2025,Dallas Mavericks,Los Angeles Lakers,97,97–112,2.57,1.50
10 Apr 2025,Toronto Raptors,Charlotte Hornets,Toronto Raptors,126,1.18,4.71
10 Apr 2025,Orlando Magic,Boston Celtics,Orlando Magic,96,1.31,3.45
