date,home_team,away_team,home_score,away_score,home_odds,away_odds
17 Jun 2022 ,Boston Celtics,Golden State Warriors,90,90–103,1.52,2.29
14 Jun 2022 ,Golden State Warriors,Boston Celtics,Golden State Warriors,104,1.55,2.31
11 Jun 2022 ,Boston Celtics,Golden State Warriors,97,97–107,1.56,2.28
09 Jun 2022 ,Boston Celtics,Golden State Warriors,Boston Celtics,116,1.61,2.19
06 Jun 2022 ,Golden State Warriors,Boston Celtics,Golden State Warriors,107,1.43,2.49
03 Jun 2022 ,Golden State Warriors,Boston Celtics,108,108–120,1.52,2.29
30 May 2022 ,Miami Heat,Boston Celtics,96,96–100,2.14,1.59
28 May 2022 ,Boston Celtics,Miami Heat,103,103–111,1.21,3.65
27 May 2022 ,Golden State Warriors,Dallas Mavericks,Golden State Warriors,120,1.31,3.00
26 May 2022 ,Miami Heat,Boston Celtics,80,80–93,2.17,1.53
25 May 2022 ,Dallas Mavericks,Golden State Warriors,Dallas Mavericks,119,1.73,1.92
24 May 2022 ,Boston Celtics,Miami Heat,Boston Celtics,102,1.31,2.95
23 May 2022 ,Dallas Mavericks,Golden State Warriors,100,100–109,1.57,2.18
22 May 2022 ,Boston Celtics,Miami Heat,103,103–109,1.37,2.71
21 May 2022 ,Golden State Warriors,Dallas Mavericks,Golden State Warriors,126,1.35,2.80
20 May 2022 ,Miami Heat,Boston Celtics,102,102–127,1.77,1.87
19 May 2022 ,Golden State Warriors,Dallas Mavericks,Golden State Warriors,112,1.40,2.61
18 May 2022 ,Miami Heat,Boston Celtics,Miami Heat,118,1.46,2.42
16 May 2022 ,Phoenix Suns,Dallas Mavericks,90,90–123,1.32,3.00
15 May 2022 ,Boston Celtics,Milwaukee Bucks,Boston Celtics,109,1.43,2.53
14 May 2022 ,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,110,1.25,3.33
14 May 2022 ,Milwaukee Bucks,Boston Celtics,95,95–108,1.75,1.90
13 May 2022 ,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,113,2.01,1.67
13 May 2022 ,Philadelphia 76ers,Miami Heat,90,90–99,1.65,2.03
12 May 2022 ,Memphis Grizzlies,Golden State Warriors,Memphis Grizzlies,134,2.32,1.51
12 May 2022 ,Boston Celtics,Milwaukee Bucks,107,107–110,1.47,2.40
11 May 2022 ,Phoenix Suns,Dallas Mavericks,Phoenix Suns,110,1.30,3.08
11 May 2022 ,Miami Heat,Philadelphia 76ers,Miami Heat,120,1.62,2.09
10 May 2022 ,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,101,1.15,4.35
10 May 2022 ,Milwaukee Bucks,Boston Celtics,108,108–116,1.71,1.90
09 May 2022 ,Philadelphia 76ers,Miami Heat,Philadelphia 76ers,116,1.65,2.01
08 May 2022 ,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,111,2.13,1.59
08 May 2022 ,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,142,1.30,3.05
07 May 2022 ,Milwaukee Bucks,Boston Celtics,Milwaukee Bucks,103,1.65,2.03
07 May 2022 ,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,103,1.78,1.86
07 May 2022 ,Philadelphia 76ers,Miami Heat,Philadelphia 76ers,99,1.84,1.81
05 May 2022 ,Phoenix Suns,Dallas Mavericks,Phoenix Suns,129,1.36,2.80
05 May 2022 ,Miami Heat,Philadelphia 76ers,Miami Heat,119,1.23,3.48
04 May 2022 ,Memphis Grizzlies,Golden State Warriors,Memphis Grizzlies,106,1.97,1.69
04 May 2022 ,Boston Celtics,Milwaukee Bucks,Boston Celtics,109,1.51,2.29
03 May 2022 ,Phoenix Suns,Dallas Mavericks,Phoenix Suns,121,1.36,2.78
03 May 2022 ,Miami Heat,Philadelphia 76ers,Miami Heat,106,1.25,3.45
01 May 2022 ,Memphis Grizzlies,Golden State Warriors,116,116–117,2.04,1.66
01 May 2022 ,Boston Celtics,Milwaukee Bucks,89,89–101,1.46,2.40
30 Apr 2022 ,Minnesota Timberwolves,Memphis Grizzlies,106,106–114,1.92,1.73
29 Apr 2022 ,Utah Jazz,Dallas Mavericks,96,96–98,1.89,1.76
29 Apr 2022 ,New Orleans Pelicans,Phoenix Suns,109,109–115,2.13,1.56
29 Apr 2022 ,Toronto Raptors,Philadelphia 76ers,97,97–132,1.86,1.79
28 Apr 2022 ,Golden State Warriors,Denver Nuggets,Golden State Warriors,102,1.21,3.70
28 Apr 2022 ,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,116,1.08,6.13
27 Apr 2022 ,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,112,1.31,2.83
27 Apr 2022 ,Memphis Grizzlies,Minnesota Timberwolves,Memphis Grizzlies,111,1.32,2.95
27 Apr 2022 ,Miami Heat,Atlanta Hawks,Miami Heat,97,1.50,2.34
26 Apr 2022 ,Dallas Mavericks,Utah Jazz,Dallas Mavericks,102,1.57,2.19
26 Apr 2022 ,Philadelphia 76ers,Toronto Raptors,88,88–103,1.23,3.53
26 Apr 2022 ,Brooklyn Nets,Boston Celtics,112,112–116,1.73,1.92
25 Apr 2022 ,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,118,2.00,1.67
25 Apr 2022 ,Atlanta Hawks,Miami Heat,86,86–110,1.90,1.74
24 Apr 2022 ,Denver Nuggets,Golden State Warriors,Denver Nuggets,126,2.40,1.47
24 Apr 2022 ,Chicago Bulls,Milwaukee Bucks,95,95–119,2.40,1.47
24 Apr 2022 ,Minnesota Timberwolves,Memphis Grizzlies,Minnesota Timberwolves,119,2.04,1.65
24 Apr 2022 ,Brooklyn Nets,Boston Celtics,103,103–109,1.55,2.24
23 Apr 2022 ,Utah Jazz,Dallas Mavericks,Utah Jazz,100,1.38,2.69
23 Apr 2022 ,Toronto Raptors,Philadelphia 76ers,Toronto Raptors,110,2.06,1.59
23 Apr 2022 ,New Orleans Pelicans,Phoenix Suns,111,111–114,2.01,1.67
23 Apr 2022 ,Chicago Bulls,Milwaukee Bucks,81,81–111,2.09,1.62
23 Apr 2022 ,Atlanta Hawks,Miami Heat,Atlanta Hawks,111,1.92,1.73
22 Apr 2022 ,Denver Nuggets,Golden State Warriors,113,113–118,2.00,1.65
22 Apr 2022 ,Utah Jazz,Dallas Mavericks,118,118–126,1.21,3.65
22 Apr 2022 ,Minnesota Timberwolves,Memphis Grizzlies,95,95–104,2.04,1.64
21 Apr 2022 ,Milwaukee Bucks,Chicago Bulls,110,110–114,1.18,3.95
21 Apr 2022 ,Toronto Raptors,Philadelphia 76ers,101,101–104,1.99,1.69
21 Apr 2022 ,Boston Celtics,Brooklyn Nets,Boston Celtics,114,1.56,2.18
20 Apr 2022 ,Phoenix Suns,New Orleans Pelicans,114,114–125,1.17,4.03
20 Apr 2022 ,Memphis Grizzlies,Minnesota Timberwolves,Memphis Grizzlies,124,1.31,3.03
20 Apr 2022 ,Miami Heat,Atlanta Hawks,Miami Heat,115,1.26,3.35
19 Apr 2022 ,Golden State Warriors,Denver Nuggets,Golden State Warriors,126,1.29,3.08
