date,home_team,away_team,home_score,away_score,home_odds,away_odds
13 Jun 2023 ,Denver Nuggets,Miami Heat,Denver Nuggets,94,1.29,3.45
10 Jun 2023 ,Miami Heat,Denver Nuggets,95,95–108,2.13,1.62
08 Jun 2023 ,Miami Heat,Denver Nuggets,94,94–109,2.26,1.59
05 Jun 2023 ,Denver Nuggets,Miami Heat,108,108–111,1.28,3.42
02 Jun 2023 ,Denver Nuggets,Miami Heat,Denver Nuggets,104,1.27,3.60
30 May 2023 ,Boston Celtics,Miami Heat,84,84–103,1.31,3.10
28 May 2023 ,Miami Heat,Boston Celtics,103,103–104,1.98,1.67
26 May 2023 ,Boston Celtics,Miami Heat,Boston Celtics,110,1.28,3.30
24 May 2023 ,Miami Heat,Boston Celtics,99,99–116,1.77,1.92
23 May 2023 ,Los Angeles Lakers,Denver Nuggets,111,111–113,1.57,2.24
22 May 2023 ,Miami Heat,Boston Celtics,Miami Heat,128,2.37,1.51
21 May 2023 ,Los Angeles Lakers,Denver Nuggets,108,108–119,1.40,2.70
20 May 2023 ,Boston Celtics,Miami Heat,105,105–111,1.20,4.05
19 May 2023 ,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,108,1.43,2.60
18 May 2023 ,Boston Celtics,Miami Heat,116,116–123,1.23,3.59
17 May 2023 ,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,132,1.34,2.95
14 May 2023 ,Boston Celtics,Philadelphia 76ers,Boston Celtics,112,1.40,2.67
13 May 2023 ,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,122,1.61,2.17
13 May 2023 ,Miami Heat,New York Knicks,Miami Heat,96,1.38,2.79
12 May 2023 ,Phoenix Suns,Denver Nuggets,100,100–125,1.74,1.91
12 May 2023 ,Philadelphia 76ers,Boston Celtics,86,86–95,2.07,1.66
11 May 2023 ,Golden State Warriors,Los Angeles Lakers,Golden State Warriors,121,1.30,3.18
11 May 2023 ,New York Knicks,Miami Heat,New York Knicks,112,1.58,2.23
10 May 2023 ,Denver Nuggets,Phoenix Suns,Denver Nuggets,118,1.36,2.90
10 May 2023 ,Boston Celtics,Philadelphia 76ers,103,103–115,1.29,3.20
09 May 2023 ,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,104,1.66,2.09
09 May 2023 ,Miami Heat,New York Knicks,Miami Heat,109,1.51,2.37
08 May 2023 ,Phoenix Suns,Denver Nuggets,Phoenix Suns,129,1.80,1.88
07 May 2023 ,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers,116,1.84,1.84
07 May 2023 ,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,127,1.59,2.21
06 May 2023 ,Miami Heat,New York Knicks,Miami Heat,105,1.52,2.30
06 May 2023 ,Phoenix Suns,Denver Nuggets,Phoenix Suns,121,1.51,2.38
06 May 2023 ,Philadelphia 76ers,Boston Celtics,102,102–114,2.09,1.65
05 May 2023 ,Golden State Warriors,Los Angeles Lakers,Golden State Warriors,127,1.32,3.08
04 May 2023 ,Boston Celtics,Philadelphia 76ers,Boston Celtics,121,1.27,3.37
03 May 2023 ,Golden State Warriors,Los Angeles Lakers,112,112–117,1.49,2.34
03 May 2023 ,New York Knicks,Miami Heat,New York Knicks,111,1.18,4.33
02 May 2023 ,Denver Nuggets,Phoenix Suns,Denver Nuggets,97,1.51,2.29
02 May 2023 ,Boston Celtics,Philadelphia 76ers,115,115–119,1.15,4.47
30 Apr 2023 ,Sacramento Kings,Golden State Warriors,100,100–120,1.79,1.90
30 Apr 2023 ,New York Knicks,Miami Heat,101,101–108,1.55,2.30
30 Apr 2023 ,Denver Nuggets,Phoenix Suns,Denver Nuggets,125,1.52,2.35
29 Apr 2023 ,Los Angeles Lakers,Memphis Grizzlies,Los Angeles Lakers,125,1.45,2.55
29 Apr 2023 ,Golden State Warriors,Sacramento Kings,99,99–118,1.30,3.19
