date,home_team,away_team,home_score,away_score,home_odds,away_odds
18 Jun 2024 ,Boston Celtics,Dallas Mavericks,Boston Celtics,106,1.32,2.93
15 Jun 2024 ,Dallas Mavericks,Boston Celtics,Dallas Mavericks,122,1.87,1.76
13 Jun 2024 ,Dallas Mavericks,Boston Celtics,99,99–106,1.60,2.09
10 Jun 2024 ,Boston Celtics,Dallas Mavericks,Boston Celtics,105,1.31,2.88
07 Jun 2024 ,Boston Celtics,Dallas Mavericks,Boston Celtics,107,1.48,2.25
31 May 2024 ,Minnesota Timberwolves,Dallas Mavericks,103,103–124,1.43,2.41
29 May 2024 ,Dallas Mavericks,Minnesota Timberwolves,100,100–105,1.71,1.89
28 May 2024 ,Indiana Pacers,Boston Celtics,102,102–105,3.00,1.28
27 May 2024 ,Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,116,1.76,1.87
26 May 2024 ,Indiana Pacers,Boston Celtics,111,111–114,2.88,1.30
25 May 2024 ,Minnesota Timberwolves,Dallas Mavericks,108,108–109,1.34,2.70
24 May 2024 ,Boston Celtics,Indiana Pacers,Boston Celtics,126,1.40,2.59
23 May 2024 ,Minnesota Timberwolves,Dallas Mavericks,105,105–108,1.46,2.30
22 May 2024 ,Boston Celtics,Indiana Pacers,Boston Celtics,133,1.20,3.88
20 May 2024 ,Denver Nuggets,Minnesota Timberwolves,90,90–98,1.46,2.39
19 May 2024 ,New York Knicks,Indiana Pacers,109,109–130,1.60,2.11
19 May 2024 ,Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks,117,1.52,2.26
18 May 2024 ,Indiana Pacers,New York Knicks,Indiana Pacers,116,1.42,2.52
17 May 2024 ,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,115,1.70,1.94
16 May 2024 ,Oklahoma City Thunder,Dallas Mavericks,92,92–104,1.47,2.34
16 May 2024 ,Boston Celtics,Cleveland Cavaliers,Boston Celtics,113,1.05,7.20
15 May 2024 ,Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,112,1.47,2.37
15 May 2024 ,New York Knicks,Indiana Pacers,New York Knicks,121,1.76,1.90
14 May 2024 ,Dallas Mavericks,Oklahoma City Thunder,96,96–100,1.73,1.90
14 May 2024 ,Cleveland Cavaliers,Boston Celtics,102,102–109,4.98,1.11
13 May 2024 ,Minnesota Timberwolves,Denver Nuggets,107,107–115,1.52,2.28
12 May 2024 ,Indiana Pacers,New York Knicks,Indiana Pacers,121,1.38,2.65
12 May 2024 ,Cleveland Cavaliers,Boston Celtics,93,93–106,3.12,1.28
11 May 2024 ,Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks,105,1.69,1.97
11 May 2024 ,Minnesota Timberwolves,Denver Nuggets,90,90–117,1.55,2.20
11 May 2024 ,Indiana Pacers,New York Knicks,Indiana Pacers,111,1.30,3.01
10 May 2024 ,Oklahoma City Thunder,Dallas Mavericks,110,110–119,1.47,2.43
10 May 2024 ,Boston Celtics,Cleveland Cavaliers,94,94–118,1.10,5.17
09 May 2024 ,New York Knicks,Indiana Pacers,New York Knicks,130,1.49,2.27
08 May 2024 ,Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder,117,1.47,2.36
08 May 2024 ,Boston Celtics,Cleveland Cavaliers,Boston Celtics,120,1.11,5.30
07 May 2024 ,Denver Nuggets,Minnesota Timberwolves,80,80–106,1.30,3.04
07 May 2024 ,New York Knicks,Indiana Pacers,New York Knicks,121,1.41,2.61
05 May 2024 ,Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers,106,1.57,2.15
05 May 2024 ,Denver Nuggets,Minnesota Timberwolves,99,99–106,1.48,2.35
04 May 2024 ,Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks,114,1.23,3.42
04 May 2024 ,Orlando Magic,Cleveland Cavaliers,Orlando Magic,103,1.47,2.36
03 May 2024 ,Philadelphia 76ers,New York Knicks,115,115–118,1.60,2.12
03 May 2024 ,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,120,1.38,2.66
02 May 2024 ,Los Angeles Clippers,Dallas Mavericks,93,93–123,2.07,1.62
02 May 2024 ,Boston Celtics,Miami Heat,Boston Celtics,118,1.07,5.88
01 May 2024 ,Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,115,2.44,1.42
